"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior"
"1",-0.285322430076952,0.00876752013544103,-0.248228178608572,0.00659116779613031,0.892,0.00982000165134549,0.158201429021055,0.00606777835521772,0.32417515,0.0078609487531899,0.004,0.00199699473909873,"Dirichlet (1)",30,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
"2",0.0218295293121765,0.0130446400663157,0.022069536721865,0.0133321439649452,0.622,0.0153411652540262,0.170469000175261,0.00756651579860141,0.58222715,0.0108512512923616,0.258,0.0138429631086571,"Dirichlet (0)",30,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
"3",-0.171971531794747,0.00980350578066382,-0.15799685685439,0.00825453182463365,0.947,0.00708810561724633,0.125586824613749,0.00540329434567146,0.43085115,0.00873802985614862,0.023,0.00474273059465679,"Dirichlet (0.5)",30,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
"4",0.00617684531789762,0.0132687728889448,0.00619596136562706,0.0133507553974139,0.6,0.0154996851658422,0.175922427062499,0.00755140598225242,0.5713218,0.011287389477908,0.276,0.0141429849757403,"Dirichlet (1/J)",30,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
"5",0.0295599087033959,0.012952844973894,0.0300011396563375,0.0133411751719848,0.917,0.00872852720607456,0.168482204927367,0.00767452443007266,0.58658705,0.00945261056011507,0.137,0.010878848714333,"Normal",30,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
"6",0.0165236451700147,NA,0.0166609156220504,NA,0.947,NA,0.130020523987971,NA,NA,NA,NA,NA,"Frequentist",30,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
