"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior","stopping","stopping_se"
"1",-0.00317077254094135,0.00506387715944054,-0.00316575095053062,0.00504770385650413,0.945,0.00721297629463904,0.0256272628325241,0.00141968246940947,0.48944645,0.00906889159405061,0.047,0.006695956678163,"R-square",10,"None [OR = 1.00]","Uniform",500,"Adaptive","Beta",0.01,0.00314800093867678
"2",-0.00300979747430206,0.00512580932903703,-0.0030052725746994,0.00511024486716164,0.946,0.00715088352129531,0.0262567062372017,0.00147337182209498,0.48898225,0.00908277500294882,0.046,0.00662781471738071,"Normal - large SD",10,"None [OR = 1.00]","Uniform",500,"Adaptive","Beta",0.011,0.00329998331660781
"3",-0.00353345167623753,0.00506806527024667,-0.00352721638206221,0.0050500488336965,0.946,0.00715088352129531,0.0256720855786453,0.00142541332909828,0.4889999,0.00907026368957312,0.047,0.006695956678163,"Normal - small SD",10,"None [OR = 1.00]","Uniform",500,"Adaptive","Beta",0.009,0.00298796384314267
"4",-0.00299311382861239,0.00511918713941096,-0.00298863892915802,0.00510372730293965,0.944,0.00727440148169693,0.0261888296217333,0.00147191482280943,0.4892562,0.00908005662509186,0.048,0.00676326413366664,"Laplace - large SD",10,"None [OR = 1.00]","Uniform",500,"Adaptive","Beta",0.011,0.00329998331660781
"5",-0.00341712404376248,0.00481483391305617,-0.00341129231986304,0.00479827821940138,0.951,0.00682976175614081,0.0231711197214359,0.00132458596034847,0.4892777,0.00890016142050364,0.04,0.00619987406633702,"Laplace - small SD",10,"None [OR = 1.00]","Uniform",500,"Adaptive","Beta",0.009,0.00298796384314267
"6",-0.00359796878457449,0.00502436933328422,-0.00359150385075468,0.00500618901134821,0.946,0.00715088352129531,0.0252319882894245,0.00139482424354775,0.48900185,0.00904969626985649,0.045,0.00655881224140605,"Cauchy",10,"None [OR = 1.00]","Uniform",500,"Adaptive","Beta",0.009,0.00298796384314267
"7",-0.00307799149264319,NA,-0.00307325933325597,NA,0.944,NA,0.0271679250717159,NA,NA,NA,NA,NA,"Frequentist",10,"None [OR = 1.00]","Uniform",500,"Adaptive","Beta",0.01,NA
