"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior","stopping","stopping_se"
"1",0.0116236204066699,0.0111593964584728,0.0116914371864698,0.0112892062785467,0.958,0.00634635929303435,0.124542705739417,0.00687219925874418,0.50555765,0.00907645558105653,0.042,0.00634635929303382,"R-square",4,"None [OR = 1.00]","Symmetric",100,"Adaptive","Beta",0.008,0.0028185003005045
"2",0.0153913098371764,0.0124494798954024,0.0155103660726639,0.0126414547498185,0.944,0.00727440148169693,0.155071452534866,0.00892929035798417,0.50523235,0.00932607165710891,0.056,0.00727440148169708,"Normal - large SD",4,"None [OR = 1.00]","Symmetric",100,"Adaptive","Beta",0.013,0.00358383088940366
"3",0.0128701347167112,0.0120281212444941,0.0129533113489781,0.0121830340259972,0.951,0.00682976175614081,0.144696665339204,0.00808390057380166,0.50484815,0.00925462036429179,0.05,0.00689547297489795,"Normal - small SD",4,"None [OR = 1.00]","Symmetric",100,"Adaptive","Beta",0.011,0.00329998331660781
"4",0.0149216529227617,0.0123711960408608,0.0150335365894747,0.012556090325305,0.943,0.00733517585370755,0.153116100715876,0.00882859398754436,0.5051156,0.00931463018654812,0.052,0.00702462421381708,"Laplace - large SD",4,"None [OR = 1.00]","Symmetric",100,"Adaptive","Beta",0.013,0.00358383088940366
"5",0.0101637998392841,0.0107036994601325,0.0102156266899638,0.0108123504371327,0.961,0.00612507277642599,0.11455791577788,0.00679192767709291,0.5044511,0.00888110226668189,0.037,0.00597215762238963,"Laplace - small SD",4,"None [OR = 1.00]","Symmetric",100,"Adaptive","Beta",0.008,0.0028185003005045
"6",0.010848306448347,0.0114703316051203,0.0109073626849325,0.0115947720060652,0.957,0.0064181143797996,0.131554624377087,0.00717220497209518,0.5045627,0.00915267386683381,0.047,0.006695956678163,"Cauchy",4,"None [OR = 1.00]","Symmetric",100,"Adaptive","Beta",0.008,0.0028185003005045
"7",0.0141873265775179,NA,0.0142884443261722,NA,0.946,NA,0.156562297419514,NA,NA,NA,NA,NA,"Frequentist",4,"None [OR = 1.00]","Symmetric",100,"Adaptive","Beta",0.009,NA
