"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior","stopping","stopping_se"
"1",-0.304952955309345,0.00872093789100589,-0.262841947051535,0.00642873533458763,0.872,0.0105701337611084,0.168975007892987,0.00630568256153618,0.2335047,0.00682416468232718,0,0,"Dirichlet (1)",30,"None [OR = 1.00]","Skewed",100,"Adaptive","Alpha",0,0
"2",-0.72163144309695,0,-0.514041205228559,0,0,0,0.520751939666186,0,0.02015,0,0,0,"Dirichlet (0)",30,"None [OR = 1.00]","Skewed",100,"Adaptive","Alpha",0,0
"3",-0.198591032741749,0.00981378385482201,-0.180114869048266,0.00799380558210377,0.93025641025641,0.00810580648739108,0.134049464604707,0.00565685518050188,0.330941282051282,0.00827079843428251,0.00615384615384615,0.00250584047374064,"Dirichlet (0.5)",30,"None [OR = 1.00]","Skewed",100,"Adaptive","Alpha",0,0
"4",-0.731239672822304,0,-0.518688049244458,0,0,0,0.534711459109271,0,0.01905,0,0,0,"Dirichlet (1/J)",30,"None [OR = 1.00]","Skewed",100,"Adaptive","Alpha",0,0
"5",-0.0248096300638927,0.0177544178435174,-0.024504400611945,0.0175041130783596,0.907153729071537,0.0112472280623528,0.20491065436283,0.016150714571102,0.470997336377473,0.0120620431481875,0.0745814307458143,0.0103529009376416,"Normal",30,"None [OR = 1.00]","Skewed",100,"Adaptive","Alpha",0.015220700152207,0.00563835238747793
"6",-0.021741389053773,NA,-0.0215067486009777,NA,0.946,NA,0.134056671389935,NA,NA,NA,NA,NA,"Frequentist",30,"None [OR = 1.00]","Skewed",100,"Adaptive","Alpha",0.003,NA
