"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior"
"1",-0.00692278846242695,0.0110843526178517,-0.0068988811625843,0.0110079127944732,0.956,0.00648892179842724,0.122787935084015,0.00553484824725932,0.49544445,0.00898178441474574,0.045,0.00655881224140605,"R-square",4,"None [OR = 1.00]","Skewed",100,"Fixed","Beta"
"2",-0.0702635487251526,0.0114632549619893,-0.0678518789184001,0.010685507854828,0.939,0.0075720760915573,0.1362117743887,0.00608486627444407,0.44699045,0.00900715036729357,0.029,0.00530916068575696,"Normal - large SD",4,"None [OR = 1.00]","Skewed",100,"Fixed","Beta"
"3",-0.0683674375214952,0.0111730915449966,-0.0660827457159439,0.0104347997631534,0.945,0.00721297629463904,0.129387243211457,0.00579972776077057,0.4473267,0.00894014685941888,0.028,0.00521950603441007,"Normal - small SD",4,"None [OR = 1.00]","Skewed",100,"Fixed","Beta"
"4",-0.0700254659420304,0.0114192669903618,-0.0676299240786863,0.0106470420246246,0.943,0.00733517585370755,0.135172824818968,0.0060499101186919,0.44689765,0.00899872104259155,0.029,0.00530916068575696,"Laplace - large SD",4,"None [OR = 1.00]","Skewed",100,"Fixed","Beta"
"5",-0.0612331825313472,0.00998938606490879,-0.0593961181923743,0.00939617037216145,0.965,0.00581453427273477,0.103437548762757,0.00501395222696345,0.44918285,0.00856620139967515,0.022,0.00464085525927468,"Laplace - small SD",4,"None [OR = 1.00]","Skewed",100,"Fixed","Beta"
"6",-0.0660403259988565,0.0108160179688094,-0.0639068853593928,0.01012484644324,0.95,0.00689547297489776,0.121230583114941,0.00544253211907666,0.44777295,0.00885541136714034,0.024,0.00484225644172708,"Cauchy",4,"None [OR = 1.00]","Skewed",100,"Fixed","Beta"
"7",-0.00725246195943809,NA,-0.00722622631984093,NA,0.947,NA,0.140804449696094,NA,NA,NA,NA,NA,"Frequentist",4,"None [OR = 1.00]","Skewed",100,"Fixed","Beta"
