"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior"
"1",-0.0103903799722988,0.00508803389274723,-0.0103365864472451,0.00503543182002269,0.946,0.00715088352129531,0.0259701608008195,0.00119341656061277,0.9600127,0.00278759965930729,0.797,0.012726073744598,"R-square",4,"Moderate [OR = 1.50]","Uniform",500,"Fixed","Beta"
"2",-0.000997366151165749,0.00516372639688547,-0.000996868946857947,0.00515857100846732,0.946,0.00715088352129531,0.0266384009708294,0.00122372030329079,0.96182475,0.00272794093992327,0.804,0.0125595279267071,"Normal - large SD",4,"Moderate [OR = 1.50]","Uniform",500,"Fixed","Beta"
"3",-0.0027141024211295,0.0051417541686798,-0.00271042257506589,0.00512780985077152,0.945,0.00721297629463904,0.0264185646471573,0.00121226887060754,0.96152735,0.00273336119785057,0.803,0.0125836937879679,"Normal - small SD",4,"Moderate [OR = 1.50]","Uniform",500,"Fixed","Beta"
"4",-0.00139235038386726,0.00516580755404528,-0.00139138151379263,0.00515861061210033,0.944,0.00727440148169693,0.0266608207573373,0.00122512848889497,0.96179885,0.002727770029807,0.805,0.0125352356233204,"Laplace - large SD",4,"Moderate [OR = 1.50]","Uniform",500,"Fixed","Beta"
"5",-0.0148275774825431,0.0051127124800403,-0.0147181902720378,0.00503743881438461,0.944,0.00727440148169693,0.026333546128657,0.00118615430354441,0.95925845,0.00276503434898155,0.784,0.0130197355393075,"Laplace - small SD",4,"Moderate [OR = 1.50]","Uniform",500,"Fixed","Beta"
"6",-0.00580752509086121,0.00510280293509525,-0.00579069401508144,0.00507324529715293,0.944,0.00727440148169693,0.0260462865443033,0.00119526343735028,0.96144115,0.00272628142064646,0.799,0.012679107214617,"Cauchy",4,"Moderate [OR = 1.50]","Uniform",500,"Fixed","Beta"
"7",-0.0020652095777189,NA,-0.00206307849971221,NA,0.943,NA,0.0269243343019433,NA,NA,NA,NA,NA,"Frequentist",4,"Moderate [OR = 1.50]","Uniform",500,"Fixed","Beta"
