"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior"
"1",-0.003567820196178,0.00514453012150181,-0.00356146308828842,0.00512621732928318,0.95,0.00689547297489776,0.0264524533218207,0.00122538135052036,0.49437545,0.00921630016457369,0.04,0.00619987406633702,"R-square",30,"None [OR = 1.00]","Skewed",500,"Fixed","Beta"
"2",-0.0842929705558399,0.00457116930748281,-0.0808380707366879,0.00420166087371952,0.925,0.00833333333333315,0.0279799981339628,0.00125394211629918,0.3442019,0.00831306704773457,0.01,0.00314800093867678,"Normal - large SD",30,"None [OR = 1.00]","Skewed",500,"Fixed","Beta"
"3",-0.0839768886993102,0.00455521351721373,-0.0805474944071013,0.00418831897918209,0.926,0.00828206451270391,0.0277813380528357,0.00124564780966204,0.3443852,0.00830497494546521,0.01,0.00314800093867678,"Normal - small SD",30,"None [OR = 1.00]","Skewed",500,"Fixed","Beta"
"4",-0.0840843941083183,0.00456569716578522,-0.0806463352117228,0.00419750686693467,0.921,0.00853415677333318,0.0278949303516125,0.0012501824821216,0.34442275,0.00831372091457149,0.01,0.00314800093867678,"Laplace - large SD",30,"None [OR = 1.00]","Skewed",500,"Fixed","Beta"
"5",-0.0798389725625944,0.00434807667296896,-0.0767349945849084,0.00401445777262377,0.936,0.0077436402269192,0.0252611265231134,0.00117262460306629,0.3469273,0.00816055011797233,0.009,0.00298796384314267,"Laplace - small SD",30,"None [OR = 1.00]","Skewed",500,"Fixed","Beta"
"6",-0.0834029598995514,0.00452227076625902,-0.0800196426739646,0.00416041666388303,0.927,0.00823035471524379,0.0273865356704838,0.0012277407344129,0.34454695,0.00828497201591544,0.01,0.00314800093867678,"Cauchy",30,"None [OR = 1.00]","Skewed",500,"Fixed","Beta"
"7",-0.00348027414857876,NA,-0.00347422501408767,NA,0.957,NA,0.0238150976023346,NA,NA,NA,NA,NA,"Frequentist",30,"None [OR = 1.00]","Skewed",500,"Fixed","Beta"
