"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior","stopping","stopping_se"
"1",-0.0101653150609702,0.00989322452599683,-0.0101138228716368,0.00979295071356974,0.958,0.00634635929303435,0.0978813492605523,0.00494608565226476,0.5750361,0.00870043770525676,0.075,0.00833333333333338,"R-square",10,"Small [OR = 1.10]","Symmetric",100,"Adaptive","Beta",0.007,0.00263779414624378
"2",0.0138101115001396,0.0114564833628647,0.0139059115852563,0.0116151734817817,0.939,0.0075720760915573,0.131310479212199,0.00703897412931685,0.5847454,0.00904755122765593,0.097,0.00936368937324811,"Normal - large SD",10,"Small [OR = 1.10]","Symmetric",100,"Adaptive","Beta",0.015,0.00384574957450297
"3",0.0099875447038847,0.0111231617848013,0.0100375866885922,0.0112343299084797,0.943,0.00733517585370755,0.123700754411985,0.00648305571839999,0.5841305,0.00899129730806585,0.092,0.00914437639315118,"Normal - small SD",10,"Small [OR = 1.10]","Symmetric",100,"Adaptive","Beta",0.013,0.00358383088940366
"4",0.0118866656400701,0.0113436158716331,0.0119575928006417,0.0114786945971908,0.941,0.00745483565040652,0.128690236242162,0.00689636497449469,0.58420695,0.00902717802706526,0.097,0.00936368937324811,"Laplace - large SD",10,"Small [OR = 1.10]","Symmetric",100,"Adaptive","Beta",0.013,0.00358383088940366
"5",-0.00193856963664529,0.00998852431416765,-0.00193669182414661,0.00996871914893245,0.956,0.00648892179842724,0.0996746054089798,0.00548085651562163,0.58084465,0.00864930427105269,0.074,0.00828206451270403,"Laplace - small SD",10,"Small [OR = 1.10]","Symmetric",100,"Adaptive","Beta",0.009,0.00298796384314267
"6",0.00533931284677236,0.0107063400440822,0.00535359238059777,0.0107632529865446,0.949,0.00696042006257131,0.114539599684054,0.00594949122573573,0.58289345,0.00890221636677285,0.081,0.00863212103214003,"Cauchy",10,"Small [OR = 1.10]","Symmetric",100,"Adaptive","Beta",0.011,0.00329998331660781
"7",0.00979696925668245,NA,0.00984511666443089,NA,0.939,NA,0.143463325837825,NA,NA,NA,NA,NA,"Frequentist",10,"Small [OR = 1.10]","Symmetric",100,"Adaptive","Beta",0.011,NA
