"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior"
"1",-0.00361471943532117,0.00489237348424725,-0.00360819420168725,0.00487474308192413,0.943,0.00733517585370755,0.0239244491876523,0.00102039264568922,0.66438715,0.0087232935570724,0.154,0.0114199130650989,"Dirichlet (1)",30,"Small [OR = 1.10]","Uniform",500,"Fixed","Alpha"
"2",-0.00390838611731323,0.00515839129091964,-0.00390075831699093,0.00513829589852299,0.939,0.0075720760915573,0.0265976671915673,0.00113521371256803,0.65792165,0.00890725527310623,0.151,0.0113281652233417,"Dirichlet (0)",30,"Small [OR = 1.10]","Uniform",500,"Fixed","Alpha"
"3",-0.00377154472828972,0.0050129431747935,-0.00376444138646742,0.00499409602926985,0.942,0.00739531545579282,0.0251186942240725,0.00107251258472312,0.6612071,0.00880660768590969,0.152,0.0113589183034753,"Dirichlet (0.5)",30,"Small [OR = 1.10]","Uniform",500,"Fixed","Alpha"
"4",-0.00385752539514317,0.00514741204353498,-0.00385009470182274,0.00512761910797951,0.939,0.0075720760915573,0.0264842353973572,0.0011297687549699,0.6581751,0.00889868295751512,0.153,0.0113895004596652,"Dirichlet (1/J)",30,"Small [OR = 1.10]","Uniform",500,"Fixed","Alpha"
"5",-0.000720800151938176,0.00534594149791452,-0.000720540437913122,0.00534211749365331,0.932,0.00796488791129144,0.0285510309614845,0.00121741009723712,0.659766,0.00903360149912786,0.163,0.0116862127127467,"Normal",30,"Small [OR = 1.10]","Uniform",500,"Fixed","Alpha"
"6",-0.00429986452257706,NA,-0.00429063334080397,NA,0.941,NA,0.0264647439197613,NA,NA,NA,NA,NA,"Frequentist",30,"Small [OR = 1.10]","Uniform",500,"Fixed","Alpha"
