"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior"
"1",-0.139818939132038,0.00975245894340902,-0.130484343593561,0.00847983611057948,0.952,0.0067632641336665,0.114564680727445,0.00502606584589176,0.3785378,0.00830555811319936,0.015,0.00384574957450297,"Dirichlet (1)",10,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
"2",-0.00742675221297489,0.0118517364178776,-0.00739924203464593,0.0117638465553551,0.787,0.012953717566737,0.140378349111159,0.00640217006170482,0.49522215,0.0100180574535194,0.121,0.0103182103809462,"Dirichlet (0)",10,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
"3",-0.0806469398703117,0.0103030358650625,-0.0774806612479352,0.00950463859436551,0.955,0.00655881224140591,0.112550324399173,0.00505791695006283,0.43084435,0.0086717177239496,0.024,0.00484225644172708,"Dirichlet (0.5)",10,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
"4",-0.0237161281914474,0.0117373609014115,-0.0234371109121602,0.0114620502378748,0.79,0.0128866623322758,0.138190330025446,0.00630890888826608,0.4798466,0.0101137445559192,0.11,0.00989939381972447,"Dirichlet (1/J)",10,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
"5",-0.00865570835280134,0.0113084937442419,-0.0086183555585797,0.0112108781428797,0.946,0.00715088352129531,0.127829070019884,0.00587277575785797,0.4912587,0.00904793384072278,0.053,0.00708810561724648,"Normal",10,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
"6",-0.00814261136627952,NA,-0.00810955010221326,NA,0.955,NA,0.116851124802079,NA,NA,NA,NA,NA,"Frequentist",10,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
