"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior","stopping","stopping_se"
"1",0.00588075104337171,0.0117994513712585,0.00589807660557784,0.0118680473185454,0.953,0.0066959566781636,0.139122408842865,0.00812795576478418,0.49876695,0.00909989303087519,0.057,0.00733517585370689,"Dirichlet (1)",4,"None [OR = 1.00]","Uniform",100,"Adaptive","Alpha",0.009,0.00298796384314267
"2",0.00853421439687521,0.01236548045953,0.00857073462110836,0.0124701917260833,0.947,0.00708810561724633,0.152825034703396,0.00940032020858021,0.49994925,0.00919539640020454,0.058,0.00739531545579303,"Dirichlet (0)",4,"None [OR = 1.00]","Uniform",100,"Adaptive","Alpha",0.009,0.00298796384314267
"3",0.00714815744414814,0.0120698743912878,0.00717376650440427,0.0121553468047587,0.951,0.00682976175614081,0.145587282108489,0.00870941521025013,0.4993123,0.00914660238990354,0.058,0.00739531545579303,"Dirichlet (0.5)",4,"None [OR = 1.00]","Uniform",100,"Adaptive","Alpha",0.009,0.00298796384314267
"4",0.00792136152263383,0.0122150920112835,0.00795281851269181,0.0123110502158864,0.952,0.0067632641336665,0.149122012339651,0.00904746741464693,0.49988555,0.00917301852541277,0.061,0.00757207609155746,"Dirichlet (1/J)",4,"None [OR = 1.00]","Uniform",100,"Adaptive","Alpha",0.009,0.00298796384314267
"5",0.0118787305187886,0.0126181345183843,0.0119495628262705,0.0127674812503328,0.945,0.00721297629463904,0.159199205644056,0.00990928833644299,0.50132785,0.00924814948115041,0.065,0.00779973306183208,"Normal",4,"None [OR = 1.00]","Uniform",100,"Adaptive","Alpha",0.011,0.00329998331660781
"6",0.00927266527177646,NA,0.0093157896218905,NA,0.951,NA,0.147562513807306,NA,NA,NA,NA,NA,"Frequentist",4,"None [OR = 1.00]","Uniform",100,"Adaptive","Alpha",0.009,NA
