"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior","stopping","stopping_se"
"1",0.00277721909953569,0.0052059306744103,0.00278107914506931,0.00522028635694818,0.949,0.00696042006257131,0.0270823254185061,0.00146810038631082,0.5009881,0.00924036940089814,0.054,0.00715088352129551,"Dirichlet (1)",10,"None [OR = 1.00]","Symmetric",500,"Adaptive","Alpha",0.01,0.00314800093867678
"2",0.00308544473629285,0.00527751936127091,0.00309020962023832,0.00529370459494532,0.949,0.00696042006257131,0.0278338783672015,0.00151787238094894,0.50163445,0.00927215078047123,0.055,0.00721297629463919,"Dirichlet (0)",10,"None [OR = 1.00]","Symmetric",500,"Adaptive","Alpha",0.009,0.00298796384314267
"3",0.00275571584034626,0.00523308958686472,0.00275951631545057,0.00524741142958878,0.95,0.00689547297489776,0.0273654353673205,0.00148439829766769,0.50127055,0.00925695045611373,0.057,0.00733517585370689,"Dirichlet (0.5)",10,"None [OR = 1.00]","Symmetric",500,"Adaptive","Alpha",0.009,0.00298796384314267
"4",0.0029179837902769,0.0052719527161967,0.00292224524892482,0.00528723728785102,0.95,0.00689547297489776,0.0277742065857723,0.00150916469828683,0.5016646,0.00927103513958396,0.054,0.00715088352129551,"Dirichlet (1/J)",10,"None [OR = 1.00]","Symmetric",500,"Adaptive","Alpha",0.009,0.00298796384314267
"5",0.00320902100232708,0.00537263246860518,0.00321417542229629,0.00538975900439452,0.946,0.00715088352129531,0.0288466122788613,0.00158955944734138,0.50163245,0.00932633039185705,0.058,0.00739531545579303,"Normal",10,"None [OR = 1.00]","Symmetric",500,"Adaptive","Alpha",0.01,0.00314800093867678
"6",0.00287900361518891,NA,0.00288315192614252,NA,0.949,NA,0.0276534327373743,NA,NA,NA,NA,NA,"Frequentist",10,"None [OR = 1.00]","Symmetric",500,"Adaptive","Alpha",0.009,NA
