"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior","stopping","stopping_se"
"1",0.0358715854671424,0.00570002331942249,0.0365227333616756,0.00590812642338936,0.957,0.0064181143797996,0.0337445462200447,0.00145414921519182,0.97143875,0.00207020765520578,0.846,0.0114199130650985,"Dirichlet (1)",30,"Moderate [OR = 1.50]","Uniform",500,"Adaptive","Alpha",0.341,0.0149981313484033
"2",0.0407988540540649,0.00621330594258016,0.0416425622932795,0.00647150560491571,0.946680080482897,0.00719283003380583,0.0400102473880364,0.00176874715869084,0.966337122736418,0.00240142896770073,0.821931589537223,0.0121405022226252,"Dirichlet (0)",30,"Moderate [OR = 1.50]","Uniform",500,"Adaptive","Alpha",0.312877263581489,0.0147773778991981
"3",0.0377440788742949,0.00591713796059923,0.0384654336253472,0.00614463891633092,0.955,0.00655881224140591,0.0364021246131886,0.00158155393740623,0.96912,0.00221730225257619,0.833,0.0118004343246443,"Dirichlet (0.5)",30,"Moderate [OR = 1.50]","Uniform",500,"Adaptive","Alpha",0.327,0.0148422131534116
"4",0.0406921973739151,0.00620061635704546,0.0415314700801511,0.00645873161227242,0.947686116700201,0.00719283003380583,0.0397502266290348,0.00175530153825984,0.966480633802817,0.00239268016244426,0.821931589537223,0.0121405022226252,"Dirichlet (1/J)",30,"Moderate [OR = 1.50]","Uniform",500,"Adaptive","Alpha",0.3158953722334,0.0148144734265703
"5",0.0657295959953196,0.0066689631904754,0.0679379034337197,0.00712183987201339,0.93,0.00807249435832334,0.0487509747555878,0.00220860478267227,0.9682747,0.00235753231866357,0.834,0.0117721103708119,"Normal",30,"Moderate [OR = 1.50]","Uniform",500,"Adaptive","Alpha",0.339,0.0149767587716207
"6",0.0389414458330474,NA,0.0397096025381045,NA,0.95,NA,0.0393459211295568,NA,NA,NA,NA,NA,"Frequentist",30,"Moderate [OR = 1.50]","Uniform",500,"Adaptive","Alpha",0.303,NA
