"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior"
"1",-0.147627895501257,0.00983326230888627,-0.137247910845958,0.00848380692420794,0.947,0.00708810561724633,0.118390350117858,0.0054802906282797,0.4569946,0.00861356128025851,0.022,0.00464085525927468,"Dirichlet (1)",10,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
"2",-0.0109384208436731,0.0118443155813653,-0.0108788138518149,0.0117157983357238,0.79,0.0128866623322758,0.140267172829935,0.00659747162558346,0.5769294,0.0100896718206334,0.17,0.0118844958345419,"Dirichlet (0)",10,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
"3",-0.0862967981866732,0.0103748127697064,-0.0826780686727209,0.00951719325364384,0.953,0.0066959566781636,0.114976240643728,0.00535404426619726,0.50979845,0.00884592999761029,0.038,0.00604918115058501,"Dirichlet (0.5)",10,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
"4",-0.0244369461405888,0.0116151083214423,-0.0241407813314781,0.0113347387215467,0.796,0.012749374359024,0.135372994914197,0.00620890455263744,0.55493315,0.0100306028039788,0.146,0.0111717862854966,"Dirichlet (1/J)",10,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
"5",-0.00995274118515925,0.0113890680005705,-0.00990337656345173,0.0112764584684697,0.952,0.0067632641336665,0.129680216108796,0.00597099829683317,0.5690027,0.00908011486842179,0.07,0.00807249435832357,"Normal",10,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
"6",-0.0134994210279279,NA,-0.0134087124736308,NA,0.961,NA,0.118518283561111,NA,NA,NA,NA,NA,"Frequentist",10,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
