"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior"
"1",-0.283606995308901,0.00908723093711266,-0.2469374563301,0.00684322984101633,0.876,0.0104274988723436,0.162928116126456,0.0062217398738772,0.252637,0.00726547175797042,0.003,0.00173031615434694,"Dirichlet (1)",30,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
"2",0.0039046479804021,0.0132318332087682,0.00391228104991059,0.0132835244770072,0.591,0.0155550943732576,0.174921574930447,0.0076018143410296,0.49187135,0.011342344890908,0.199,0.0126316490830992,"Dirichlet (0)",30,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
"3",-0.175345915180909,0.0101740935015643,-0.160833309940202,0.00853769043970549,0.927,0.00823035471524379,0.134154856370626,0.00561509098529969,0.351537,0.00853898867774388,0.014,0.00371723254825654,"Dirichlet (0.5)",30,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
"4",-0.00596949163492309,0.0133698672398096,-0.00595170962052338,0.0132898739924415,0.575,0.0156403203170398,0.178610231490502,0.00770966605909471,0.48468005,0.0114893995668577,0.207,0.0128185535578441,"Dirichlet (1/J)",30,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
"5",0.00523273790966085,0.0134611084809631,0.00524645259402434,0.0135314362058849,0.919,0.00863212103213979,0.181047621640753,0.00789250655102821,0.5006743,0.00998125636671897,0.083,0.0087285272060748,"Normal",30,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
"6",0.00640324195873459,NA,0.00642378653975784,NA,0.938,NA,0.139769127757133,NA,NA,NA,NA,NA,"Frequentist",30,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
