"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior"
"1",-0.0702635487251526,0.0114632549619893,-0.0678518789184001,0.010685507854828,0.939,0.0075720760915573,0.1362117743887,0.00608486627444407,0.44699045,0.00900715036729357,0.029,0.00530916068575696,"Dirichlet (1)",4,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
"2",-0.00860465835207178,0.012063997098821,-0.00856774423306461,0.011965042486049,0.945891783567134,0.00716481129619293,0.145560476965023,0.00648709718987949,0.494594789579158,0.00922739931427292,0.0511022044088176,0.00703832180306496,"Dirichlet (0)",4,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
"3",-0.0411183252551489,0.0117400732651622,-0.0402844353599471,0.0112671818817719,0.944,0.00727440148169693,0.139382207622894,0.00622328527898593,0.46985835,0.00912483857648034,0.04,0.00619987406633702,"Dirichlet (0.5)",4,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
"4",-0.0253983945297032,0.0118992715447362,-0.0250785687159447,0.0116013016213477,0.944889779559118,0.00722701690629843,0.142213581214276,0.00633716913845731,0.482093036072144,0.00917359646574787,0.0460921843687375,0.00664078270187604,"Dirichlet (1/J)",4,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
"5",-0.00731573131115346,0.0121332949597971,-0.00728903648590151,0.0120448803736391,0.945,0.00721297629463904,0.147123149659472,0.00655613495479687,0.49531945,0.00925023076676667,0.051,0.00696042006257146,"Normal",4,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
"6",-0.00725246195943809,NA,-0.00722622631984093,NA,0.947,NA,0.140804449696094,NA,NA,NA,NA,NA,"Frequentist",4,"None [OR = 1.00]","Skewed",100,"Fixed","Alpha"
