"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior","stopping","stopping_se"
"1",-0.00320210275944057,0.00483667646202447,-0.00319698149612835,0.0048211571614214,0.951,0.00682976175614081,0.0233802992211852,0.00116065751081412,0.49307885,0.00911587292223361,0.043,0.00641811437979973,"Dirichlet (1)",30,"None [OR = 1.00]","Uniform",500,"Adaptive","Alpha",0.005,0.00223158687484489
"2",-0.00268230639402802,0.00513489522404746,-0.00267871222450511,0.00512105832970842,0.944,0.00727440148169693,0.0263479765805749,0.00134538093605837,0.4933541,0.00924320080000531,0.049,0.00682976175614095,"Dirichlet (0)",30,"None [OR = 1.00]","Uniform",500,"Adaptive","Alpha",0.007,0.00263779414624378
"3",-0.0031472888107802,0.0049566409984236,-0.00314234128913848,0.00494100527458015,0.949,0.00696042006257131,0.0245536271241249,0.00122424733272659,0.49313905,0.00917352879038736,0.044,0.00648892179842738,"Dirichlet (0.5)",30,"None [OR = 1.00]","Uniform",500,"Adaptive","Alpha",0.005,0.00223158687484489
"4",-0.00283850843675657,0.00511653619356597,-0.00283448368068573,0.00510195688072608,0.945,0.00721297629463904,0.026160820807596,0.0013256826375043,0.49345075,0.0092350725322877,0.047,0.006695956678163,"Dirichlet (1/J)",30,"None [OR = 1.00]","Uniform",500,"Adaptive","Alpha",0.006,0.00244335219932984
"5",-0.00147286863911036,0.00541196669175917,-0.00147178450042629,0.00540386109573514,0.935,0.00779973306183187,0.0292622634312661,0.00156656171817439,0.49365665,0.00937249056722436,0.055,0.00721297629463919,"Normal",30,"None [OR = 1.00]","Uniform",500,"Adaptive","Alpha",0.011,0.00329998331660781
"6",-0.00262012853136132,NA,-0.00261669899053407,NA,0.946,NA,0.0261073834191935,NA,NA,NA,NA,NA,"Frequentist",30,"None [OR = 1.00]","Uniform",500,"Adaptive","Alpha",0.006,NA
