"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior","stopping","stopping_se"
"1",0.07003354826137,0.0143131795282449,0.0725441626425557,0.0153489766758002,0.933,0.00791034598317827,0.209566938981639,0.0122548805330959,0.79663175,0.00703194597238888,0.34,0.0149874822643636,"Dirichlet (1)",4,"Moderate [OR = 1.50]","Symmetric",100,"Adaptive","Alpha",0.075,0.00833333333333338
"2",0.0223408545295844,0.0121931548728039,0.0225922802845289,0.0124686458562614,0.95,0.00689547297489776,0.149023466507542,0.00700219773640417,0.78804575,0.00716362420050941,0.317,0.0147216754388807,"Dirichlet (0)",4,"Moderate [OR = 1.50]","Symmetric",100,"Adaptive","Alpha",0.001,0.001
"3",0.0714666667698057,0.0146218410012402,0.0740823474704627,0.0157023244150263,0.931,0.00801893405031494,0.218691920490469,0.012898443073977,0.7932098,0.0071101166898514,0.334,0.0149220195237334,"Dirichlet (0.5)",4,"Moderate [OR = 1.50]","Symmetric",100,"Adaptive","Alpha",0.075,0.00833333333333338
"4",0.0719145774280938,0.0148112090467023,0.0745635481611878,0.0159126949321198,0.928,0.00817819557621941,0.224324247958352,0.0133331970901907,0.7913398,0.0071518132164678,0.328,0.01485384248727,"Dirichlet (1/J)",4,"Moderate [OR = 1.50]","Symmetric",100,"Adaptive","Alpha",0.075,0.00833333333333338
"5",0.0843801913980946,0.015443810711735,0.0880424795744648,0.0168002010194933,0.923,0.0084345801402414,0.245392794710979,0.0147694590451741,0.79104025,0.00723966700517252,0.337,0.0149550879186531,"Normal",4,"Moderate [OR = 1.50]","Symmetric",100,"Adaptive","Alpha",0.082,0.00868051561552366
"6",0.0162760257308908,NA,0.016409201782251,NA,0.953,NA,0.142868525445892,NA,NA,NA,NA,NA,"Frequentist",4,"Moderate [OR = 1.50]","Symmetric",100,"Adaptive","Alpha",0,NA
