"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior"
"1",-0.0675475506919518,0.0114627539566549,-0.0653167252771494,0.0107140523019995,0.944,0.00727440148169693,0.135826005147018,0.00597863035803596,0.5221162,0.00910148101762966,0.056,0.00727440148169708,"Dirichlet (1)",4,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
"2",-0.00290336592474007,0.0120741894607273,-0.00289915523393807,0.0120391517081837,0.947,0.00708810561724633,0.145648694616098,0.00643844861451473,0.5686504,0.00914531061917319,0.088,0.00896305396259206,"Dirichlet (0)",4,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
"3",-0.0364755484772405,0.0117487059958976,-0.0358183306818732,0.0113278758515701,0.949,0.00696042006257131,0.139224526122178,0.00612440543047769,0.54497935,0.00913658507939312,0.075,0.00833333333333338,"Dirichlet (0.5)",4,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
"4",-0.0200353605368627,0.0119052954376134,-0.019835986431768,0.0116691246211867,0.948,0.00702462421381771,0.141995739069244,0.00626942016906943,0.55671335,0.0091439770688641,0.084,0.00877616208949116,"Dirichlet (1/J)",4,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
"5",-0.00234445511041592,0.0121506803906177,-0.00234170902197976,0.0121221944880382,0.947,0.00708810561724633,0.147496891390752,0.00652103656007396,0.56882515,0.00916953224824628,0.088,0.00896305396259206,"Normal",4,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
"6",-0.00445297423603537,NA,-0.0044430744462163,NA,0.949,NA,0.14110752763223,NA,NA,NA,NA,NA,"Frequentist",4,"Small [OR = 1.10]","Skewed",100,"Fixed","Alpha"
