"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior","stopping","stopping_se"
"1",0.0559563621551502,0.00600301292488633,0.0575515334599315,0.006348360481222,0.957,0.0064181143797996,0.0391312424778144,0.00182676389698812,0.97300315,0.002158764622944,0.857,0.0110758148085668,"Dirichlet (1)",10,"Moderate [OR = 1.50]","Symmetric",500,"Adaptive","Alpha",0.339,0.0149767587716207
"2",0.0527352748923121,0.00613538315990873,0.0541505480616317,0.00646745490461104,0.955,0.00655881224140591,0.0403862928103405,0.00189418650440338,0.97069545,0.00226763351283789,0.844,0.0114802350061233,"Dirichlet (0)",10,"Moderate [OR = 1.50]","Symmetric",500,"Adaptive","Alpha",0.316,0.0147091930560568
"3",0.0534451228189561,0.00606263822605892,0.0548991002902355,0.00639531532431931,0.955,0.00655881224140591,0.0395752078309441,0.00185813273440474,0.9718746,0.00220052208743674,0.849,0.0113281652233427,"Dirichlet (0.5)",10,"Moderate [OR = 1.50]","Symmetric",500,"Adaptive","Alpha",0.326,0.0148305072045407
"4",0.053716935511637,0.00612440969982329,0.0551858742278246,0.00646223402200576,0.954,0.00662781471738053,0.0403563949378797,0.0018878356778861,0.9709328,0.00225896557291592,0.848,0.011358918303475,"Dirichlet (1/J)",10,"Moderate [OR = 1.50]","Symmetric",500,"Adaptive","Alpha",0.321,0.0147708218179344
"5",0.0619656078812003,0.00629787591104082,0.063925753437905,0.00670029545136682,0.949,0.00696042006257131,0.0434633143099641,0.00205130892372832,0.97128955,0.00226433443062448,0.847,0.0113895004596652,"Normal",10,"Moderate [OR = 1.50]","Symmetric",500,"Adaptive","Alpha",0.332,0.0148995972428112
"6",0.0505964806113136,NA,0.0518983462548449,NA,0.955,NA,0.0397372853918465,NA,NA,NA,NA,NA,"Frequentist",10,"Moderate [OR = 1.50]","Symmetric",500,"Adaptive","Alpha",0.312,NA
