"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior","stopping","stopping_se"
"1",0.0558277253905214,0.0125085114900301,0.057415502201737,0.0132253882582611,0.939,0.0075720760915573,0.159423131758798,0.00864190612360819,0.81405255,0.00675353258772109,0.354,0.0151298682384523,"Dirichlet (1)",10,"Moderate [OR = 1.50]","Symmetric",100,"Adaptive","Alpha",0.063,0.0076870078762864
"2",0.0523086409814153,0.0136035856852006,0.0537009076133897,0.0143323996944305,0.92,0.00858333697775349,0.187608679872422,0.0104971830974279,0.7988093,0.0072330455201115,0.35,0.0150906503414438,"Dirichlet (0)",10,"Moderate [OR = 1.50]","Symmetric",100,"Adaptive","Alpha",0.094,0.00923305200078772
"3",0.0529059029933725,0.0129063763189965,0.0543304311139945,0.013606163989277,0.938,0.00762982399628094,0.16920700970941,0.00923331965610211,0.80580045,0.00693056699853754,0.343,0.0150192069223567,"Dirichlet (0.5)",10,"Moderate [OR = 1.50]","Symmetric",100,"Adaptive","Alpha",0.062,0.00762982399628031
"4",0.0509052886154472,0.0133671926788907,0.0522232310446333,0.0140636567914982,0.933,0.00791034598317827,0.181094506683498,0.0101018022695632,0.7986345,0.00711442363079044,0.339,0.0149767587716207,"Dirichlet (1/J)",10,"Moderate [OR = 1.50]","Symmetric",100,"Adaptive","Alpha",0.06,0.00751375115747496
"5",0.0963571305723903,0.0152316687825302,0.101152248913566,0.0167696670366361,0.916,0.00877616208949092,0.24105642677895,0.0139453468319758,0.8011699,0.00727700227264393,0.361,0.0151957201181755,"Normal",10,"Moderate [OR = 1.50]","Symmetric",100,"Adaptive","Alpha",0.087,0.00891686663074587
"6",0.0311444461518434,NA,0.0316345087595726,NA,0.937,NA,0.165120950036414,NA,NA,NA,NA,NA,"Frequentist",10,"Moderate [OR = 1.50]","Symmetric",100,"Adaptive","Alpha",0.036,NA
