"","bias","bias_se","relbias","relbias_se","coverage","coverage_se","mse","mse_se","postprob","postprob_se","postsup","postsup_se","model","category","effectsize","controlprob","sampsize","design","prior"
"1",0.000228269895743293,0.00489479001453605,0.000228295951298474,0.00489590036754713,0.96,0.00619987406633689,0.0239350624242607,0.00103223385305115,0.5008166,0.00905705092322362,0.042,0.00634635929303382,"R-square",4,"None [OR = 1.00]","Uniform",500,"Fixed","Beta"
"2",0.000135058338077093,0.00497133052744711,0.000135067458864935,0.0049719949541204,0.958,0.00634635929303435,0.0246894313266691,0.00106330070700203,0.50077725,0.00910006915707787,0.046,0.00662781471738071,"Normal - large SD",4,"None [OR = 1.00]","Uniform",500,"Fixed","Beta"
"3",0.000163475060468707,0.00495370909106112,0.000163488423244651,0.00495451132092955,0.957,0.0064181143797996,0.0245147212491981,0.00105609691249426,0.50065335,0.00908944600264024,0.043,0.00641811437979973,"Normal - small SD",4,"None [OR = 1.00]","Uniform",500,"Fixed","Beta"
"4",0.000163243243726143,0.0049619869571596,0.000163256568629588,0.00496278929147052,0.96,0.00619987406633689,0.0245967198968156,0.00106049548494003,0.50071345,0.00908938766638033,0.042,0.00634635929303382,"Laplace - large SD",4,"None [OR = 1.00]","Uniform",500,"Fixed","Beta"
"5",0.000133793272136999,0.00468773798209906,0.000133802222856083,0.00468835658052153,0.964,0.0058939578161654,0.021952930402065,0.000977512381196056,0.5005957,0.00890608641192562,0.037,0.00597215762238963,"Laplace - small SD",4,"None [OR = 1.00]","Uniform",500,"Fixed","Beta"
"6",0.000207231717363706,0.00490939624631553,0.000207253191339296,0.00491040670655054,0.96,0.00619987406633689,0.0240781122768184,0.00103734730969944,0.5008355,0.00906696954425598,0.044,0.00648892179842738,"Cauchy",4,"None [OR = 1.00]","Uniform",500,"Fixed","Beta"
"7",0.000222285460896583,NA,0.000222310168140227,NA,0.958,NA,0.0249632750973668,NA,NA,NA,NA,NA,"Frequentist",4,"None [OR = 1.00]","Uniform",500,"Fixed","Beta"
